"","tweets","class"
"141","because of #trump i now dont have to worry about other country make fun of me for be fat 🍩🍫🍰🍕 #thankstotrump #america","sarcasm"
"142","overthinking everything in life really take a toll on you","sarcasm"
"143","man i just love it when im force to pitch two game back to back bc our other pitcher didnt show up","sarcasm"
"144","ive see a lot of people on local facebook group ask airbnb owner if they have any availability recently if only there be a website you could use to find out if an airbnb be available 🤔","sarcasm"
"145","but what be the rating reply to his tweet with the same thing","sarcasm"
"146","dont you love it when youre just chill in your room and then theres a spider and you kill it but when you kill it you spill soda all over your keyboard yeah me too","sarcasm"
"147","i think it should be allow for customer service worker to squirt water into their face like how they do sometimes to train pet","sarcasm"
"148","tax be just the best and i cannot wait to pay more 😇🥰🥺","sarcasm"
"149","goodness my parent be actually watch something on apple tv brilliant yet another streaming service 😪","sarcasm"
"150","alright im ready for some march madness🏀🔥","sarcasm"
"151","i still cant believe england win the world cup","sarcasm"
"152","dont u just love when u get ready for a cancelled date two hour early yeah i wasnt excite or anything","sarcasm"
"153","wouldnt it be cool if i could spontaneously combust","sarcasm"
"154","efy be great","sarcasm"
"155","youre trash","sarcasm"
"156","cold queso be so much good than warm queso","sarcasm"
"157","wow it almost a if it their literal job to have a lot of knowledge about a wide array of subject funny that","sarcasm"
"158","it really very selfish of silverstone to be say the 2022 grand prix be 1 7 3 7 cause my holiday year start on 1 7 and i would have to use a day of this year holiday allowance to go i should have be consult really 😵‍💫😵‍💫😵‍💫","sarcasm"
"159","be you experience suicidal or homicidal ideation only while try to talk to a human when i call pharmacy","sarcasm"
"160","just get some wd40 on my letter box to help the poor postman with his delivery today #valentinesday2021 #wd40","sarcasm"
"161","im sorry but if you message me on instagram want me to help you sell your fit tea and wrap im leave you on read 🙃","sarcasm"
"162","wow i love only ever buy gray and strip shirt","sarcasm"
"163","no more instagram we must all return to scrapbooks","sarcasm"
"164","thank you twitter for decide to completely reset your list of the suggested topic to follow ive click to ignore all of them so now im back to see hundred of them every time really appreciate you do that","sarcasm"
"165","thank god i just accidentally snap a rando guy from high school yas queen with acne cream all over my face","sarcasm"
"166","i hurt my foot like 3 day ago i have no idea how but it hurt to put pressure on it love that for me","sarcasm"
"167","me try to sleep slightly early than usual bc i feel like shit my friend texting the group chat 13 separate time at nearly 4am hello i dont think so how abt i tell u abt how bad thing be go instead","sarcasm"
"168","thank you to my apartment complex for consistently cut the grass at 8 be every thursday for 5 hour it definitely not super obnoxious or bothersome ☺️☺️","sarcasm"
"169","5 30 banshee like kitten zoomies be definitely my all time favorite alarm clock and the sound of jewelry box flip over and burnouts on the wood floor make for the calm most enjoyable start to any workday","sarcasm"
"170","sometimes i feel like all this effort be just like stick diamond encrust alloy on a knackered corsa i mean shit be what it be at the end of the day","sarcasm"
"171","a single man direct by tom ford simultaneously resurrect me from death only to brutally murder me once more","sarcasm"
"172","hey siri how do i stop simping","sarcasm"
"173","we love mixed signals🙄","sarcasm"
"174","hey do anyone know of any organization that have massive stockpile of money that could be super useful to the world during a public crisis","sarcasm"
"175","wow bdubs can bench press 150 kilometer","sarcasm"
"176","nothing scream im a glamorous cosmopolitan woman like follow your dog down the street in the midst of winter say go potty go potty over and over again","sarcasm"
"177","hear a rumor that baja blast be come to store and regardless if anything else i hope for in life fall through at least ill have this","sarcasm"
"178","reviewer 2 this be a very weak paper that fail proof of concept state a cat bed be also a wizard hat be totally wrong and your data cannot support this","sarcasm"
"179","a wrong impression be once again my specialty","sarcasm"
"180","if tree would simply stop produce flammable leaf climate change would not be an issue","sarcasm"
"181","havent write in month cuz there be no male teacher to impress 😣","sarcasm"
"182","hey quick question be it fall or spring","sarcasm"
"183","when the toilet seat be warm up for you gt gt gt","sarcasm"
"184","nice","sarcasm"
"185","me and noah forgot that today be our anniversary if that isnt couple goal then idk what be 😌","sarcasm"
"186","i cant wait to hear more about the life of an upper middle class east asian american whose only personality trait be drink boba tea","sarcasm"
"187","hey whats the weather like today be i go to need an umbrella","sarcasm"
"188","try to figure out how to use notion for my anime list i think im die","sarcasm"
"189","do you think anyone on bachelor in paradise have see oscar winner parasite","sarcasm"
"190","your pronoun be whats in your pant ok juicy dumper","sarcasm"
"191","it so amazing how people forget you exist until they want something from you","sarcasm"
"192","2 thing i love 1 be wake up by construction work an hour before my alarm 2 sarcasm","sarcasm"
"193","how bout you dont use a gazillion filter on your picture","sarcasm"
"194","finish the queen gambit i love a look into the 1960s in the american south with no racism just vibe","sarcasm"
"195","wow it almost like we dont nap every single day at the exact same time wow how dare i try to do the thing we do every single day","sarcasm"
"196","nah bruh you just drink it upside down 😂","sarcasm"
"197","easily one of the bad and most damaging take for both trans and cis woman i have see thus far congrats on reach new level of awful lmao","sarcasm"
"198","i thing you might be on to somethink 🙄","sarcasm"
"199","here come the final of the uk #dailybriefing who will win johnson or covid","sarcasm"
"200","youre not a normal white girl lol ok","sarcasm"
"201","great time for sim and i to have our weekly life update 🌛🌜🐨 close thing to an owl 💤💤💤💤💤😴","sarcasm"
"202","i love when you go to shop for plus size clothing and it always just shove under woman and it doesnt have any subcategories so u just have to wade thru everything like a pig be throw slop","sarcasm"
"203","youve a book out i hadnt realise yes youve already read this 8763 time this week but hey","sarcasm"
"204","hahahah be shut down the entire campus for quarantine couldnt happen to a nice group of covid denier #covidisnotover #karmaisabitch #covid 19","sarcasm"
"205","brother off on a night out and ive go to bed co i feel exhaust and sick excellent 👍🏻","sarcasm"
"206","the app store be an economic miracle 🙄 but apple magic not work today at #antitrusthearings #apple stifle innovation that be the lifeblood of our economy lucy mcbath speak some truth today #housejudiciary","sarcasm"
"207","i love how they blur out tristan face in this season of the kardashians lmao like hmmmm i wonder who that mysterious man be","sarcasm"
"208","in sunny spain at the moment hows it all in england","sarcasm"
"209","my super power be always bite into the sour cream side of the burrito no matter what","sarcasm"
"210","if you display your pop funkos in the box then youre a tory","sarcasm"
"211","#happybirthdaykeanureeves keanu reef be so wholesome ☺️","sarcasm"
"212","dont worry 20 something people who follow me here i brush my hair for the first time in a week today i know impressive","sarcasm"
"213","and with a plentiful supply of rhubarb","sarcasm"
"214","hear kendrick perkins refer to alec burk a alecs burk like he attorney general gt gt gt gt","sarcasm"
"215","wait didnt covid go away it after november third so it definitely should be go now wait im confuse 121 000 case in a day youre tell me the whole world didnt fake a pandemic for the u election no way","sarcasm"
"216","we really need to remind people that universal healthcare mean never need to sit through another annual explanation of benefit meet","sarcasm"
"217","wow i leave on time today and the airport connector be all the way back up love that","sarcasm"
"218","maybe i be a cyber bully","sarcasm"
"219","florida you literally have one job","sarcasm"
"220","andrew really try to explain to me that football and rupauls drag race arent the same thing when it in fact be the same thing","sarcasm"
"221","day 5 of people be mad about ellen sitting by gw bush be when well finally get to the bottom of this","sarcasm"
"222","cool guy in a big truck honk really long at the garbage truck because it slow down to turn i felt he want everyone to know how cool he be so i decide to tweet about it on his behalf","sarcasm"
"223","not olivia rodrigo traitor in the background #loveisland","sarcasm"
"224","ive never have protect sex","sarcasm"
"225","duodenum jejunum and ilium would be cute name for triplet dont me","sarcasm"
"226","only yell at one person while bike home this evening improvement","sarcasm"
"227","be 100% go to post another photo with 5 hole in a fence 5 day before lover be release isnt she","sarcasm"
"228","the fact that break school shooting preventable be an actual headline on nbc tonight be actually laughable","sarcasm"
"229","i love when i start choke on my water in my 8 person class","sarcasm"
"230","whoop diddy scoop poop","sarcasm"
"231","mr shatner whilst you be sleep you ask me to join facebook messenger and then after a polite conversation you then offer me gold necklace and a singed sic tee shirt you make my friday night sir just await your instruction so i can wire the money","sarcasm"
"232","be it illegal to discriminate against someone on the basis that they have a joker tattoo","sarcasm"
"233","it be 20 hour and i want another chai latte with pumpkin cold foam i cant afford this","sarcasm"
"234","it would be a real shame if people share this around and fill it with fake info people should definitely not do that 😉","sarcasm"
"235","well do henri cost u the win #nffc","sarcasm"
"236","i love not be pregnant so much it my fave thing about myself","sarcasm"
"237","buy really rare pokemon card","sarcasm"
"238","you like ketchup but not tomato grow up","sarcasm"
"239","big day in the mumford house #sports day","sarcasm"
"240","you be a right bundle of laugh to take to the picture draft","sarcasm"
"241","if i could have change anything about my childhood i would have never watch spongebob no one","sarcasm"
"242","#bbcqt it sure would be nice if m may decide to answer a question rather than dance readily around it","sarcasm"
"243","do anyone not know prince harry get engage i dont think there be enough in the news about it","sarcasm"
"244","make your husband agree to let you die first fun date topic for discussion","sarcasm"
"245","im ollie im 58 and i think my 57 boyfriend be short","sarcasm"
"246","tonight dinner i sit by amp chat w the former chancellor of ole miss a former miss m amp the owner of the miss america pageant casual","sarcasm"
"247","wow this growth spurt be really take long than i thought haha","sarcasm"
"248","quarantine day 256 dear ancient greek re the blanket wear i get it #quarantinelife","sarcasm"
"249","my bf take my off his lock screen which obvi mean he cheat on me","sarcasm"
"250","gonna go cry now some no face tell me to lose weight x","sarcasm"
"251","margaret thatcher be trend have 2016 take another one","sarcasm"
"252","hear me out the lyric in coney island shouldve be lose again with no surprise disappointment close your eyes fix it for you 😉 #evermorealbum","sarcasm"
"253","at least half of my day be still bad day and let me tell you ive never once kill 8 people because of it a true miracle apparently","sarcasm"
"254","of course the moment i front the system be in utter chaos 🥴","sarcasm"
"255","day 38 of quarantine be an interesting time to get a new drum kit neighbor","sarcasm"
"256","hate this site chirpbirdicon","sarcasm"
"257","do you know there be a direct correlation with how cool someone be and how high they cuff their pant","sarcasm"
"258","would love a cheeky mcdonalds breakfast before a busy day at work would set the day off on the right foot 💓 #fancyamcdonalds","sarcasm"
"259","i swear this triller event be run by teenager","sarcasm"
"260","what kind of sin have yall be commit for god to punish u with this kinda weather","sarcasm"
"261","im really look forward to not hug my friend and family through choice rather than by law","sarcasm"
"262","men will literally fake an injury on the football field instead of go to therapy","sarcasm"
"263","i dont think republican have any self awareness or any idea of how the world work nice try though","sarcasm"
"264","there be not enough people here #ivoryrooms","sarcasm"
"265","i love online shopping because if i be physically in a store and an employee even look at me i will immediately leave","sarcasm"
"266","who let the laundry pile up 5 basket goodness","sarcasm"
"267","boehner not clap for gender pay equality cool","sarcasm"
"268","drop in center to let people get the 1st or 2nd vaccine open today i go think i be able to get my 2nd one wait in the que 30 mins sits down arm ready to get sorry your 12hrs to early we cannot vacinate you till 56 day #seriously","sarcasm"
"269","im concern about the environmental impact of my contact lenses say the occasional daily wearer throw their starbucks cup in the test room bin","sarcasm"
"270","shout out james boswell #unibowl","sarcasm"
"271","surely youre not suggest that their own thorough investigation of their own suspect lt fraud gt which find no evidence for say lt fraud gt be carry out with anything but the very high level of integrity seem completely legit to me","sarcasm"
"272","say swear you didnt down all bevs at acapulco straight after 😘","sarcasm"
"273","i get call ugly on twitter by an uneducated teen who refuse to show his face im gonna cry myself to sleep😭 im in gut wrenching pain","sarcasm"
"274","it true every time my little cousin put on their mask they choke to death and have to be revive it very stressful for u","sarcasm"
"275","just dislocate my fuck knee again while out on a walk 🙃🙃🙃 fab","sarcasm"
"276","headache that last all day nonstop🥰😍","sarcasm"
"277","piss off at and just want out of my contract but im sure that would just be way too easy ugh","sarcasm"
"278","football be turn into an anatomy lesson cool","sarcasm"
"279","ah yes people with eat disorder famous for easily be able to not worry about their weight","sarcasm"
"280","a if i didnt know this anyway im an owl accord to the #bbcbodyclock quiz what be you","sarcasm"
"281","i would kill a man for a forehead kiss rn","sarcasm"
"282","mental shoot out end silent pause siren start 🚨 always so perfectly time 🚔🚓👍🏽 #lineofduty #lineofduty6 #lod6 #lod","sarcasm"
"283","love be call the devil for take away someone phone at summer school🤗🤗🤗","sarcasm"
"284","everyone pls stop shooting firework my dog be scar","sarcasm"
"285","i love day when rob work short call and be only at the hospital for check watch 13 hour","sarcasm"
"286","bad timeline","sarcasm"
"287","thanks for disrupt your narrative continuity with commercial break preview #spoileralert","sarcasm"
"288","i love how i literally just finish watch the fifth hp film and then turn to my mum and say love a good bit of character death on a sunday the dsmp lore have utterly ruin my attachment to character and how i see story now i be a broken woman","sarcasm"
"289","i go outside today and suddenly my depression be cure","sarcasm"
"290","cant wait to be back at uni so i can order more shoe and clothes without my mum tell me off x","sarcasm"
"291","love when the train stop in philly and everybody board and of a sudden it smell like a ham sandwich","sarcasm"
"292","thanks for not inform me that my click and collect order have be cancel when my account say it ready to collect my partner have have to travel unnecessarily to stafford and we still dont have our shopping good diet i guess have to wait for my 26th delivery slot","sarcasm"
"293","my dream be to be leave alone","sarcasm"
"294","shock how be i suppose to tell the kid theyre not go to disneyland on june 21st after all it already be cancel 36 time","sarcasm"
"295","oh really","sarcasm"
"296","we happy","sarcasm"
"297","first day of work and ive already cry on the job 👍","sarcasm"
"298","the fact i nearly froze on my way to work this morning be definitely a sign it not summer anymore #freezing","sarcasm"
"299","damn imagine be vaxxed and then get a cold and then lose your taste and smell oh wait","sarcasm"
"300","be this first cybex isokinetic dynamometer #prs2021","sarcasm"
"301","how you gonna ask me how im do on this fine labor day while youre off a im ring you out on labor day how do you think i be 💀","sarcasm"
"302","apparently it national sibling day idgaf 💀","sarcasm"
"303","work out 2 day in a row i be quite literally the epitome of health and fitness","sarcasm"
"304","yes i have little interest in do thing that apply to me","sarcasm"
"305","if you ever want to know what it feel like to have dyslexia i would recommend the book house of leaf","sarcasm"
"306","i know right he even want poor people to be healthy because he be basically a fucking communist what a hippie","sarcasm"
"307","let listen to dylan petit over actually doctor biologist and epidemiologist 🙄","sarcasm"
"308","dont let people walk all over you or breathe on you either one","sarcasm"
"309","kepa have a great game","sarcasm"
"310","i be start off my day by watch a dragon den special on deborah meaden and eat a pot noodle my life be perfect","sarcasm"
"311","well do with the good coaching now available can we expect a decent wee victory tomorrow 😅","sarcasm"
"312","michael saylor be efficient in his line of question feel like more an interrogation 😂⭕️","sarcasm"
"313","id like to thank middle age men watch the olympics for solve the mental health crisis get someone to shout get some perspective at every athlete struggle with anxiety will definitely solve their problem","sarcasm"
"314","do ur dad hate you for no reason or be you normal","sarcasm"
"315","i miss walk up 3 flight of stair for class and have to catch my breath in the bathroom 😩","sarcasm"
"316","this be my 3rd time take a biology course and it so easy wow i love biology so much im so glad im so good at this subject","sarcasm"
"317","hot dog eat contest a a form of assisted suicide","sarcasm"
"318","be 20 year old and go to concert with my mom mean i can scream all the no no lyric bc im an adult","sarcasm"
"319","itd be nice if missguided actually have stock for once🙂🙂🙂","sarcasm"
"320","first game not start when it suppose to a ucf tradition","sarcasm"
"321","have a bad week but what else be new at least i finally get pay 💕😭","sarcasm"
"322","im about to just walk into a place and start work then and there and theyll have no choice but to hire me on the spot","sarcasm"
"323","just stick my entire hand in a hot oven without think about the consequence self preservation be clearly my strong suit","sarcasm"
"324","turnover be the best band to cry to drive to daydream to fall asleep to reminisce to die to","sarcasm"
"325","congratulation to trump on his second impeachment it a tremendous achievement borne of hard work focus and dedication record break historic bigly #impeachmentday #trumpimpeachment2","sarcasm"
"326","yeah i enjoy some oregano on a nice pasta dinner dump oregano on mac n cheese","sarcasm"
"327","everytime i swipe through bumble when im bore i just get sad that no one have the same complex interest a me rude 😤🙄 j","sarcasm"
"328","sit next to the world loud mouth breather on the first day of class do a really good job of demystify grad school for me today","sarcasm"
"329","every date i go on i get a little scared will be phone swap","sarcasm"
"330","nothing warms my heart more than see everybody come together and attack westsides administration ❤️ #wycopride #yeeyee","sarcasm"
"331","blatantly obvious that lionel messi be now set for a move to leeds the newells old boy network","sarcasm"
"332","cant wait to get home take a big as antihistamine and roll in some topical steroid damn it skin what do i ever do to you","sarcasm"
"333","tit for tat butter for fat you kill my dog i eat your cat be a liberian proverb for an eye for an eye my ancestor be spittin","sarcasm"
"334","aware she be not a tennis player when she leave canada at 2 yr old aware she do not pick up a tennis racket until 6 year old aware last12 year train at the same tennis club in bromley kent england the girl be british no hater or doubter will take that away from her","sarcasm"
"335","be not aware that crocs be appropriate business casual attire","sarcasm"
"336","on a scale from 1 to 10 how deeply be your childhood influence by the hannah montana 2 meet miley cyrus double album this be for research purpose","sarcasm"
"337","oh youre a real anime fan name all the boku no pico character ill wait","sarcasm"
"338","base confidence and believing in proper eye contact pilled","sarcasm"
"339","replace pelosi #nancy","sarcasm"
"340","oh sure the micd up pitcher at the mlb all star game can say god dammit but when my 13 year old softball player say it she get a language warning 😂","sarcasm"
"341","one of them smonks weed so it super worth it s","sarcasm"
"342","sureeeeeee you do","sarcasm"
"343","bart be close rn in oakland so i cant go to work im so upset","sarcasm"
